id,kanji,reading,pos,meaning_zh,reading_type,reading_type_note
401,描写,びょうしゃ,verb-noun,描写,音,漢語（多く音読み）と推定
402,秒針,びょうしん,noun,秒针,音,漢語（多く音読み）と推定
403,病巣,びょうそう,noun,病灶,音,漢語（多く音読み）と推定
404,品位,ひんい,noun,品位,音,漢語（多く音読み）と推定
405,品質,ひんしつ,noun,品质,音,漢語（多く音読み）と推定
406,貧血,ひんけつ,noun,贫血,音,漢語（多く音読み）と推定
407,頻繁,ひんぱん,na-adj,频繁,音,漢語（多く音読み）と推定
408,不況,ふきょう,noun,不景气,音,漢語（多く音読み）と推定
409,不均衡,ふきんこう,na-adj,不均衡,音,漢語（多く音読み）と推定
410,不可逆,ふかぎゃく,na-adj,不可逆,音,漢語（多く音読み）と推定
411,不可避,ふかひ,na-adj,不可避免,音,漢語（多く音読み）と推定
412,不確実,ふかくじつ,na-adj,不确定,音,漢語（多く音読み）と推定
413,不急,ふきゅう,na-adj,不紧急,音,漢語（多く音読み）と推定
414,不偏,ふへん,na-adj,不偏不倚,音,漢語（多く音読み）と推定
415,不服,ふふく,verb-noun,不服,音,漢語（多く音読み）と推定
416,付帯,ふたい,verb-noun,附带,音,漢語（多く音読み）と推定
417,付与,ふよ,verb-noun,赋予,音,漢語（多く音読み）と推定
418,負傷,ふしょう,verb-noun,负伤,音,漢語（多く音読み）と推定
419,浮動,ふどう,verb-noun,浮动,音,漢語（多く音読み）と推定
420,普及,ふきゅう,verb-noun,普及,音,漢語（多く音読み）と推定
421,腐食,ふしょく,verb-noun,腐蚀,音,漢語（多く音読み）と推定
422,婦人,ふじん,noun,妇人,音,漢語（多く音読み）と推定
423,譜面,ふめん,noun,谱子,音,漢語（多く音読み）と推定
424,武器,ぶき,noun,武器,音,漢語（多く音読み）と推定
425,舞台,ぶたい,noun,舞台,音,漢語（多く音読み）と推定
426,部位,ぶい,noun,部位,音,漢語（多く音読み）と推定
427,分散,ぶんさん,verb-noun,分散,音,漢語（多く音読み）と推定
428,分担,ぶんたん,verb-noun,分担,音,漢語（多く音読み）と推定
429,分離,ぶんり,verb-noun,分离,音,漢語（多く音読み）と推定
430,文語,ぶんご,noun,文语,音,漢語（多く音読み）と推定
431,聞き取り,ききとり,noun,听力,訓/混合,okuriganaあり → 和語/混合の可能性高
432,併記,へいき,verb-noun,并记,音,漢語（多く音読み）と推定
433,併発,へいはつ,verb-noun,并发,音,漢語（多く音読み）と推定
434,米価,べいか,noun,米价,音,漢語（多く音読み）と推定
435,壁面,へきめん,noun,壁面,音,漢語（多く音読み）と推定
436,偏在,へんざい,verb-noun,偏在,音,漢語（多く音読み）と推定
437,偏差,へんさ,noun,偏差,音,漢語（多く音読み）と推定
438,補償,ほしょう,verb-noun,补偿,音,漢語（多く音読み）と推定
439,捕捉,ほそく,verb-noun,捕捉,音,漢語（多く音読み）と推定
440,保全,ほぜん,verb-noun,保全,音,漢語（多く音読み）と推定
441,保全性,ほぜんせい,noun,可靠性（保全性）,音,漢語（多く音読み）と推定
442,保守,ほしゅ,na-adj,保守,音,漢語（多く音読み）と推定
443,保障,ほしょう,verb-noun,保障,音,漢語（多く音読み）と推定
444,保持,ほじ,verb-noun,保持,音,漢語（多く音読み）と推定
445,募集,ぼしゅう,verb-noun,募集,音,漢語（多く音読み）と推定
446,母体,ぼたい,noun,母体,音,漢語（多く音読み）と推定
447,母語,ぼご,noun,母语,音,漢語（多く音読み）と推定
448,没入,ぼつにゅう,verb-noun,沉浸,音,漢語（多く音読み）と推定
449,没頭,ぼっとう,verb-noun,埋头; 专注,音,漢語（多く音読み）と推定
450,没落,ぼつらく,verb-noun,没落,音,漢語（多く音読み）と推定
451,翻意,ほんい,verb-noun,改变主意,音,漢語（多く音読み）と推定
452,凡例,はんれい,noun,凡例,音,漢語（多く音読み）と推定
453,万別,ばんべつ,noun,千差万别,音,漢語（多く音読み）と推定
454,満遍なく,まんべんなく,adv,全面地; 平均地,訓/混合,okuriganaあり → 和語/混合の可能性高
455,密猟,みつりょう,verb-noun,偷猎,音,漢語（多く音読み）と推定
456,密着,みっちゃく,verb-noun,密切联系; 贴紧,音,漢語（多く音読み）と推定
457,無為,むい,na-adj,无为,音,漢語（多く音読み）と推定
458,無害,むがい,na-adj,无害,音,漢語（多く音読み）と推定
459,無償,むしょう,na-adj,无偿,音,漢語（多く音読み）と推定
460,無能,むのう,na-adj,无能,音,漢語（多く音読み）と推定
461,無謀,むぼう,na-adj,鲁莽,音,漢語（多く音読み）と推定
462,無用,むよう,na-adj,无用; 多余,音,漢語（多く音読み）と推定
463,矛先,ほこさき,noun,矛头,音,漢語（多く音読み）と推定
464,無二,むに,na-adj,无二; 唯一,音,漢語（多く音読み）と推定
465,名残,なごり,noun,余韵; 依恋,音,漢語（多く音読み）と推定
466,明快,めいかい,na-adj,明快,音,漢語（多く音読み）と推定
467,明白,めいはく,na-adj,明白,音,漢語（多く音読み）と推定
468,名誉,めいよ,noun,名誉,音,漢語（多く音読み）と推定
469,滅亡,めつぼう,verb-noun,灭亡,音,漢語（多く音読み）と推定
470,免責,めんせき,verb-noun,免责,音,漢語（多く音読み）と推定
471,面影,おもかげ,noun,面影; 旧貌,音,漢語（多く音読み）と推定
472,面目,めんもく,noun,面子; 面目,音,漢語（多く音読み）と推定
473,網膜,もうまく,noun,视网膜,音,漢語（多く音読み）と推定
474,目撃,もくげき,verb-noun,目击,音,漢語（多く音読み）と推定
475,目録,もくろく,noun,目录,音,漢語（多く音読み）と推定
476,目論見,もくろみ,noun,打算; 计划,音,漢語（多く音読み）と推定
477,問屋,とんや,noun,批发商,音,漢語（多く音読み）と推定
478,厄介,やっかい,na-adj,麻烦,音,漢語（多く音読み）と推定
479,野党,やとう,noun,在野党; 反对党,音,漢語（多く音読み）と推定
480,野蛮,やばん,na-adj,野蛮,音,漢語（多く音読み）と推定
481,役職,やくしょく,noun,职务,音,漢語（多く音読み）と推定
482,躍進,やくしん,verb-noun,跃进,音,漢語（多く音読み）と推定
483,由来,ゆらい,verb-noun,由来,音,漢語（多く音読み）と推定
484,遊説,ゆうぜい,verb-noun,巡回演说,音,漢語（多く音読み）と推定
485,雄大,ゆうだい,na-adj,雄伟,音,漢語（多く音読み）と推定
486,融通,ゆうずう,verb-noun,通融; 变通,音,漢語（多く音読み）と推定
487,要請,ようせい,verb-noun,要请; 请求,音,漢語（多く音読み）と推定
488,要衝,ようしょう,noun,要冲,音,漢語（多く音読み）と推定
489,抑揚,よくよう,noun,抑扬顿挫,音,漢語（多く音読み）と推定
490,予備,よび,na-adj,预备; 备用,音,漢語（多く音読み）と推定
491,余白,よはく,noun,空白; 页边,音,漢語（多く音読み）と推定
492,頼り,たより,noun,依靠; 线索,訓/混合,okuriganaあり → 和語/混合の可能性高
493,落差,らくさ,noun,差距,音,漢語（多く音読み）と推定
494,落胆,らくたん,verb-noun,沮丧,音,漢語（多く音読み）と推定
495,乱暴,らんぼう,na-adj,粗暴,音,漢語（多く音読み）と推定
496,利潤,りじゅん,noun,利润,音,漢語（多く音読み）と推定
497,略奪,りゃくだつ,verb-noun,掠夺,音,漢語（多く音読み）と推定
