id,kanji,reading,pos,meaning_zh,reading_type,reading_type_note
601,類推,るいすい,verb-noun,类推,音,漢語（多く音読み）と推定
602,累加,るいか,verb-noun,累加,音,漢語（多く音読み）と推定
603,冷遇,れいぐう,verb-noun,冷遇,音,漢語（多く音読み）と推定
604,零落,れいらく,verb-noun,衰落,音,漢語（多く音読み）と推定
605,労災,ろうさい,noun,工伤,音,漢語（多く音読み）と推定
606,朗々,ろうろう,adv,朗朗,音,漢語（多く音読み）と推定
607,労組,ろうそ,abbr,工会（労働組合）,音,漢語（多く音読み）と推定
608,浪打ち際,なみうちぎわ,noun,浪打处; 海岸边,訓/混合,okuriganaあり → 和語/混合の可能性高
609,浪花節,なにわぶし,noun,浪花调（说唱）,音,漢語（多く音読み）と推定
610,論旨,ろんし,noun,论旨,音,漢語（多く音読み）と推定
611,論集,ろんしゅう,noun,论文集,音,漢語（多く音読み）と推定
612,和文,わぶん,noun,日文（文体）,音,漢語（多く音読み）と推定
613,和洋折衷,わようせっちゅう,noun,和洋折衷,音,漢語（多く音読み）と推定
614,話柄,わへい,noun,话题（口误）,音,漢語（多く音読み）と推定
615,腕力,わんりょく,noun,腕力,音,漢語（多く音読み）と推定
616,暗渠,あんきょ,noun,暗渠,音,漢語（多く音読み）と推定
617,意匠,いしょう,noun,外观设计; 意匠,音,漢語（多く音読み）と推定
618,一挙,いっきょ,adv,一举,音,漢語（多く音読み）と推定
619,一様,いちよう,na-adj,均一; 一样,音,漢語（多く音読み）と推定
620,逸品,いっぴん,noun,精品,音,漢語（多く音読み）と推定
621,引用符,いんようふ,noun,引号,音,漢語（多く音読み）と推定
622,右往左往,うおうさおう,verb-noun,东奔西走,音,漢語（多く音読み）と推定
623,有終の美,ゆうしゅうのび,noun,画上圆满句号,訓/混合,okuriganaあり → 和語/混合の可能性高
624,有形文化財,ゆうけいぶんかざい,noun,有形文化财,音,漢語（多く音読み）と推定
625,優越,ゆうえつ,verb-noun,优越,音,漢語（多く音読み）と推定
626,幽玄,ゆうげん,na-adj,幽玄（美学）,音,漢語（多く音読み）と推定
627,余所余所しい,よそよそしい,na-adj,冷淡; 生分,訓/混合,okuriganaあり → 和語/混合の可能性高
628,抑揚頓挫,よくようとんざ,noun,抑扬顿挫,音,漢語（多く音読み）と推定
629,落差解消,らくさかいしょう,verb-noun,消除差距,音,漢語（多く音読み）と推定
630,利活用,りかつよう,verb-noun,利用活用,音,漢語（多く音読み）と推定
631,利敵,りてき,na-adj,利敌,音,漢語（多く音読み）と推定
632,両義的,りょうぎてき,na-adj,双关; 两义,音,漢語（多く音読み）と推定
633,臨界点,りんかいてん,noun,临界点,音,漢語（多く音読み）と推定
634,臨戦,りんせん,verb-noun,临战,音,漢語（多く音読み）と推定
635,類義語,るいぎご,noun,近义词,音,漢語（多く音読み）と推定
