id,kanji,reading,pos,meaning_zh
1,曖昧,あいまい,na-adj,含糊; 模棱两可
2,相違,そうい,noun,差异; 不同
3,合致,がっち,verb-noun,一致; 符合
4,逸脱,いつだつ,verb-noun,偏离; 违背
5,裏付け,うらづけ,noun,证据; 支撑
6,介入,かいにゅう,verb-noun,介入; 干预
7,概念,がいねん,noun,概念
8,概略,がいりゃく,noun,概要
9,核,かく,noun,核心; 核
10,稼働,かどう,verb-noun,运转; 运行
11,過疎,かそ,noun,人口稀少化
12,加味,かみ,verb-noun,加以考虑; 调味
13,緩和,かんわ,verb-noun,缓和; 放宽
14,棄却,ききゃく,verb-noun,驳回; 驳斥
15,規範,きはん,noun,规范
16,希薄,きはく,na-adj,稀薄; 淡薄
17,起伏,きふく,noun,起伏; 变化
18,脚色,きゃくしょく,verb-noun,润色; 改编
19,虚偽,きょぎ,noun,虚假; 伪造
20,矛盾,むじゅん,noun,矛盾
21,均衡,きんこう,noun,均衡; 平衡
22,吟味,ぎんみ,verb-noun,斟酌; 审查
23,駆使,くし,verb-noun,熟练运用
24,句読点,くとうてん,noun,标点符号
25,群集,ぐんしゅう,noun,群体; 群众
26,傾斜,けいしゃ,verb-noun,倾斜; 偏向
27,継承,けいしょう,verb-noun,继承
28,形骸化,けいがいか,verb-noun,形式化; 空洞化
29,掲示,けいじ,verb-noun,公告; 张贴
30,欠如,けつじょ,verb-noun,缺乏
31,顕著,けんちょ,na-adj,显著
32,検証,けんしょう,verb-noun,验证; 证实
33,厳密,げんみつ,na-adj,严密; 精确
34,誤差,ごさ,noun,误差
35,互換,ごかん,noun,互换; 兼容
36,孤立,こりつ,verb-noun,孤立
37,混同,こんどう,verb-noun,混淆
38,再現,さいげん,verb-noun,再现; 复现
39,採択,さいたく,verb-noun,采纳
40,裁量,さいりょう,noun,裁量; 自主决定
41,咀嚼,そしゃく,verb-noun,咀嚼; 反复体会
42,左遷,させん,verb-noun,降职; 贬职
43,作為,さくい,noun,人为; 做作
44,錯覚,さっかく,noun,错觉
45,妥協,だきょう,verb-noun,妥协
46,妥当,だとう,na-adj,妥当; 合理
47,堕落,だらく,verb-noun,堕落
48,単一,たんいつ,noun,单一
49,陳腐,ちんぷ,na-adj,陈腐; 老套
50,追及,ついきゅう,verb-noun,追究; 追问
51,追求,ついきゅう,verb-noun,追求
52,追跡,ついせき,verb-noun,追踪
53,提携,ていけい,verb-noun,合作; 结成伙伴
54,提示,ていじ,verb-noun,出示; 提示
55,訂正,ていせい,verb-noun,订正
56,徹底,てってい,verb-noun,彻底
57,転嫁,てんか,verb-noun,转嫁
58,統括,とうかつ,verb-noun,统筹; 总括
59,統合,とうごう,verb-noun,整合; 统合
60,到達,とうたつ,verb-noun,到达
61,同調,どうちょう,verb-noun,同调; 附和
62,動向,どうこう,noun,动向; 趋势
63,淘汰,とうた,verb-noun,淘汰
64,特筆,とくひつ,verb-noun,特笔; 特别值得一提
65,内包,ないほう,verb-noun,内涵; 包含
66,難航,なんこう,verb-noun,进展困难
67,波及,はきゅう,verb-noun,波及; 影响扩散
68,破綻,はたん,verb-noun,破产; 破绽
69,抜粋,ばっすい,verb-noun,摘录; 选录
70,罰則,ばっそく,noun,惩罚条款
71,発足,ほっそく,verb-noun,成立; 启动
72,反映,はんえい,verb-noun,反映
73,繁栄,はんえい,verb-noun,繁荣
74,氾濫,はんらん,verb-noun,泛滥
75,肥大化,ひだいか,verb-noun,肥大化; 过度膨胀
76,非難,ひなん,verb-noun,非难; 指责
77,否決,ひけつ,verb-noun,否决
78,疲弊,ひへい,verb-noun,疲敝; 衰弱
79,付随,ふずい,verb-noun,附带; 伴随
80,浮上,ふじょう,verb-noun,浮现; 上浮
81,腐敗,ふはい,verb-noun,腐败
82,赴任,ふにん,verb-noun,赴任
83,負荷,ふか,noun,负荷
84,紛糾,ふんきゅう,verb-noun,纷争; 纠葛
85,分岐,ぶんき,verb-noun,分岐; 分叉
86,並行,へいこう,verb-noun,并行; 同时进行
87,閉鎖,へいさ,verb-noun,封闭; 关闭
88,変遷,へんせん,verb-noun,变迁
89,補完,ほかん,verb-noun,补完; 补充
90,補足,ほそく,verb-noun,补充; 补足
91,模索,もさく,verb-noun,摸索
92,網羅,もうら,verb-noun,网罗; 全面覆盖
93,有益,ゆうえき,na-adj,有益
94,誘致,ゆうち,verb-noun,引进; 招徕
95,抑制,よくせい,verb-noun,抑制; 控制
96,予断,よだん,noun,预断; 过早判断
97,来訪,らいほう,verb-noun,来访
98,利害,りがい,noun,利害
99,流布,るふ,verb-noun,流传; 散布
100,冷遇,れいぐう,verb-noun,冷遇
101,浪費,ろうひ,verb-noun,浪费
102,露呈,ろてい,verb-noun,暴露; 揭示
103,論拠,ろんきょ,noun,论据
104,論旨,ろんし,noun,论旨; 主旨
105,割愛,かつあい,verb-noun,割爱; 舍弃
106,隔絶,かくぜつ,verb-noun,隔绝
107,確信,かくしん,verb-noun,确信
108,確立,かくりつ,verb-noun,确立
109,過度,かど,na-adj,过度
110,干渉,かんしょう,verb-noun,干涉
111,監視,かんし,verb-noun,监视
112,貫徹,かんてつ,verb-noun,贯彻
113,旗印,はたじるし,noun,旗号; 旗帜
114,既成,きせい,na-adj,n 既成; 现成
115,忌避,きひ,verb-noun,回避; 忌讳
116,希求,ききゅう,verb-noun,渴求; 希求
117,起因,きいん,verb-noun,起因; 由来
118,危惧,きぐ,verb-noun,担忧; 忧虑
119,稀有,きゆう,na-adj,稀有
120,均質,きんしつ,na-adj,均质; 同质
121,緊密,きんみつ,na-adj,紧密
122,禁物,きんもつ,noun,忌讳之物; 应避免的事
123,駆動,くどう,verb-noun,驱动
124,掘削,くっさく,verb-noun,开采; 开挖
125,係争,けいそう,verb-noun,争议; 诉讼
126,綱領,こうりょう,noun,纲领
127,恒常,こうじょう,na-adj,恒常; 持续稳定
128,抗弁,こうべん,verb-noun,抗辩
129,考証,こうしょう,verb-noun,考证
130,合議,ごうぎ,verb-noun,合议; 合议制
131,誤謬,ごびゅう,noun,谬误
132,再編,さいへん,verb-noun,重组; 再编
133,再燃,さいねん,verb-noun,死灰复燃
134,採算,さいさん,noun,经济核算; 收支
135,細分,さいぶん,verb-noun,细分
136,削減,さくげん,verb-noun,削减
137,策定,さくてい,verb-noun,制定; 策划
138,指針,ししん,noun,指针; 指南
139,試算,しさん,verb-noun,试算
140,自負,じふ,verb-noun,自负; 自信
141,是正,ぜせい,verb-noun,纠正; 校正
142,増殖,ぞうしょく,verb-noun,增殖
143,遜色,そんしょく,noun,逊色
144,多岐,たき,na-adj,多岐; 多方面
145,端緒,たんしょ,noun,端倪; 线索
146,知見,ちけん,noun,见解; 认识
147,抽出,ちゅうしゅつ,verb-noun,抽取
148,陳述,ちんじゅつ,verb-noun,陈述
149,追認,ついにん,verb-noun,追认
150,追補,ついほ,verb-noun,增补; 追补
