id,kanji,reading,pos,meaning_zh,reading_type,reading_type_note
151,合成,ごうせい,verb-noun,合成,音,漢語（多く音読み）と推定
152,誇張,こちょう,verb-noun,夸张,音,漢語（多く音読み）と推定
153,互助,ごじょ,noun,互助,音,漢語（多く音読み）と推定
154,誤解,ごかい,verb-noun,误解,音,漢語（多く音読み）と推定
155,誤用,ごよう,verb-noun,误用,音,漢語（多く音読み）と推定
156,工学,こうがく,noun,工程学,音,漢語（多く音読み）と推定
157,高尚,こうしょう,na-adj,高尚,音,漢語（多く音読み）と推定
158,巧妙,こうみょう,na-adj,巧妙,音,漢語（多く音読み）と推定
159,硬化,こうか,verb-noun,硬化,音,漢語（多く音読み）と推定
160,降格,こうかく,verb-noun,降级; 降职,音,漢語（多く音読み）と推定
161,考慮,こうりょ,verb-noun,考虑,音,漢語（多く音読み）と推定
162,交流,こうりゅう,verb-noun,交流,音,漢語（多く音読み）と推定
163,拘束,こうそく,verb-noun,束缚; 拘束,音,漢語（多く音読み）と推定
164,合意,ごうい,noun,合意; 共识,音,漢語（多く音読み）と推定
165,合併,がっぺい,verb-noun,合并,音,漢語（多く音読み）と推定
166,恒久,こうきゅう,na-adj,永久; 恒久,音,漢語（多く音読み）と推定
167,広義,こうぎ,noun,广义,音,漢語（多く音読み）と推定
168,公益,こうえき,noun,公益,音,漢語（多く音読み）と推定
169,功績,こうせき,noun,功绩,音,漢語（多く音読み）と推定
170,耕作,こうさく,verb-noun,耕作,音,漢語（多く音読み）と推定
171,混迷,こんめい,verb-noun,混乱; 迷局,音,漢語（多く音読み）と推定
172,混雑,こんざつ,verb-noun,拥挤,音,漢語（多く音読み）と推定
173,懇談,こんだん,verb-noun,座谈,音,漢語（多く音読み）と推定
174,歳出,さいしゅつ,noun,岁出; 支出,音,漢語（多く音読み）と推定
175,歳入,さいにゅう,noun,岁入; 收入,音,漢語（多く音読み）と推定
176,採掘,さいくつ,verb-noun,采矿; 开采,音,漢語（多く音読み）と推定
