id,kanji,reading,pos,meaning_zh,reading_type,reading_type_note
301,対外,たいがい,na-adj,对外,音,漢語（多く音読み）と推定
302,対価,たいか,noun,对价; 代价,音,漢語（多く音読み）と推定
303,対置,たいち,verb-noun,对置; 对照,音,漢語（多く音読み）と推定
304,耐性,たいせい,noun,耐性; 抵抗力,音,漢語（多く音読み）と推定
305,怠慢,たいまん,na-adj,怠慢,音,漢語（多く音読み）と推定
306,体裁,ていさい,noun,体面; 格式,音,漢語（多く音読み）と推定
307,逮捕,たいほ,verb-noun,逮捕,音,漢語（多く音読み）と推定
308,台頭,たいとう,verb-noun,抬头; 兴起,音,漢語（多く音読み）と推定
309,退避,たいひ,verb-noun,退避; 规避,音,漢語（多く音読み）と推定
310,退行,たいこう,verb-noun,退行,音,漢語（多く音読み）と推定
311,代替,だいたい,verb-noun,替代; 代替,音,漢語（多く音読み）と推定
312,立脚,りっきゃく,verb-noun,立足,音,漢語（多く音読み）と推定
313,脱却,だっきゃく,verb-noun,摆脱,音,漢語（多く音読み）と推定
314,担保,たんぽ,verb-noun,担保,音,漢語（多く音読み）と推定
315,短絡,たんらく,verb-noun,短路; 简单化,音,漢語（多く音読み）と推定
316,探知,たんち,verb-noun,探测,音,漢語（多く音読み）と推定
317,端末,たんまつ,noun,终端,音,漢語（多く音読み）と推定
318,断行,だんこう,verb-noun,断然实行,音,漢語（多く音読み）と推定
319,断言,だんげん,verb-noun,断言,音,漢語（多く音読み）と推定
320,断絶,だんぜつ,verb-noun,断绝,音,漢語（多く音読み）と推定
321,知覚,ちかく,verb-noun,知觉,音,漢語（多く音読み）と推定
322,知能,ちのう,noun,智能,音,漢語（多く音読み）と推定
323,致死,ちし,verb-noun,致死,音,漢語（多く音読み）と推定
324,遅延,ちえん,verb-noun,延迟,音,漢語（多く音読み）と推定
325,蓄積,ちくせき,verb-noun,积累,音,漢語（多く音読み）と推定
326,秩序,ちつじょ,noun,秩序,音,漢語（多く音読み）と推定
327,抽象,ちゅうしょう,na-adj,抽象,音,漢語（多く音読み）と推定
328,中枢,ちゅうすう,noun,中枢,音,漢語（多く音読み）と推定
329,忠実,ちゅうじつ,na-adj,忠实,音,漢語（多く音読み）と推定
330,丁目,ちょうめ,noun,几丁目（地址单位）,音,漢語（多く音読み）と推定
331,直感,ちょっかん,noun,直觉,音,漢語（多く音読み）と推定
332,陳腐化,ちんぷか,verb-noun,陈旧化,音,漢語（多く音読み）と推定
333,沈静化,ちんせいか,verb-noun,平息,音,漢語（多く音読み）と推定
334,沈着,ちんちゃく,na-adj,沉着,音,漢語（多く音読み）と推定
335,沈滞,ちんたい,verb-noun,停滞,音,漢語（多く音読み）と推定
336,追究,ついきゅう,verb-noun,探究,音,漢語（多く音読み）と推定
337,痛感,つうかん,verb-noun,痛感,音,漢語（多く音読み）と推定
338,通達,つうたつ,verb-noun,通达; 通知,音,漢語（多く音読み）と推定
339,佃煮,つくだに,noun,酱煮小菜,音,漢語（多く音読み）と推定
340,貫く,つらぬく,v5,贯穿; 贯彻,訓/混合,okuriganaあり → 和語/混合の可能性高
341,手薄,てうす,na-adj,薄弱; 不充足,音,漢語（多く音読み）と推定
342,適用,てきよう,verb-noun,适用,音,漢語（多く音読み）と推定
343,摘発,てきはつ,verb-noun,揭发,音,漢語（多く音読み）と推定
344,徹頭徹尾,てっとうてつび,adv,彻头彻尾,音,漢語（多く音読み）と推定
345,転移,てんい,verb-noun,转移,音,漢語（多く音読み）と推定
346,転載,てんさい,verb-noun,转载,音,漢語（多く音読み）と推定
347,転身,てんしん,verb-noun,转身; 转行,音,漢語（多く音読み）と推定
348,転属,てんぞく,verb-noun,转属,音,漢語（多く音読み）と推定
349,点在,てんざい,verb-noun,点在,音,漢語（多く音読み）と推定
350,典拠,てんきょ,noun,典据; 依据,音,漢語（多く音読み）と推定
351,党派,とうは,noun,党派,音,漢語（多く音読み）と推定
352,到来,とうらい,verb-noun,到来,音,漢語（多く音読み）と推定
353,投入,とうにゅう,verb-noun,投入,音,漢語（多く音読み）と推定
354,同義,どうぎ,noun,同义,音,漢語（多く音読み）と推定
355,同居,どうきょ,verb-noun,同居,音,漢語（多く音読み）と推定
356,動態,どうたい,noun,动态,音,漢語（多く音読み）と推定
357,瞳孔,どうこう,noun,瞳孔,音,漢語（多く音読み）と推定
358,同等,どうとう,na-adj,同等,音,漢語（多く音読み）と推定
359,同封,どうふう,verb-noun,同封,音,漢語（多く音読み）と推定
360,洞察,どうさつ,verb-noun,洞察,音,漢語（多く音読み）と推定
361,導入,どうにゅう,verb-noun,导入,音,漢語（多く音読み）と推定
362,銅像,どうぞう,noun,铜像,音,漢語（多く音読み）と推定
363,特性,とくせい,noun,特性,音,漢語（多く音読み）と推定
364,得点,とくてん,verb-noun,得分,音,漢語（多く音読み）と推定
365,独占,どくせん,verb-noun,独占,音,漢語（多く音読み）と推定
366,独自,どくじ,na-adj,独自,音,漢語（多く音読み）と推定
367,独断,どくだん,noun,独断,音,漢語（多く音読み）と推定
368,読解,どっかい,noun,读解,音,漢語（多く音読み）と推定
369,内在,ないざい,noun,内在,音,漢語（多く音読み）と推定
370,内製,ないせい,verb-noun,自研; 内制,音,漢語（多く音読み）と推定
371,納期,のうき,noun,交付期; 交货期,音,漢語（多く音読み）と推定
372,納得,なっとく,verb-noun,理解; 同意,音,漢語（多く音読み）と推定
373,難題,なんだい,noun,难题,音,漢語（多く音読み）と推定
374,軟化,なんか,verb-noun,软化,音,漢語（多く音読み）と推定
375,二義的,にぎてき,na-adj,次要的,音,漢語（多く音読み）と推定
376,任命,にんめい,verb-noun,任命,音,漢語（多く音読み）と推定
377,認可,にんか,verb-noun,许可,音,漢語（多く音読み）と推定
378,認証,にんしょう,verb-noun,认证,音,漢語（多く音読み）と推定
379,抜本,ばっぽん,na-adj,根本; 彻底,音,漢語（多く音読み）と推定
380,把持,はじ,verb-noun,把持; 掌握,音,漢語（多く音読み）と推定
381,破断,はだん,verb-noun,断裂,音,漢語（多く音読み）と推定
382,破格,はかく,na-adj,破格; 特例,音,漢語（多く音読み）と推定
383,馬鹿正直,ばかしょうじき,na-adj,过分老实,音,漢語（多く音読み）と推定
384,派閥,はばつ,noun,派阀,音,漢語（多く音読み）と推定
385,波長,はちょう,noun,波长,音,漢語（多く音読み）と推定
386,派遣,はけん,verb-noun,派遣,音,漢語（多く音読み）と推定
387,破綻,はたん,verb-noun,破产; 破绽,音,漢語（多く音読み）と推定
388,発揮,はっき,verb-noun,发挥,音,漢語（多く音読み）と推定
389,発掘,はっくつ,verb-noun,发掘,音,漢語（多く音読み）と推定
390,発言,はつげん,verb-noun,发言,音,漢語（多く音読み）と推定
391,発注,はっちゅう,verb-noun,下单,音,漢語（多く音読み）と推定
392,反感,はんかん,noun,反感,音,漢語（多く音読み）と推定
393,反響,はんきょう,verb-noun,反响,音,漢語（多く音読み）と推定
394,反射,はんしゃ,verb-noun,反射,音,漢語（多く音読み）と推定
395,反証,はんしょう,verb-noun,反证,音,漢語（多く音読み）と推定
396,反則,はんそく,verb-noun,犯规,音,漢語（多く音読み）と推定
397,汎用,はんよう,na-adj,通用; 泛用,音,漢語（多く音読み）と推定
398,伴走,ばんそう,verb-noun,陪跑; 陪伴,音,漢語（多く音読み）と推定
399,微塵,みじん,noun,微尘; 丝毫,音,漢語（多く音読み）と推定
400,美徳,びとく,noun,美德,音,漢語（多く音読み）と推定
