id,kanji,reading,pos,meaning_zh,reading_type,reading_type_note
1,曖昧,あいまい,na-adj,含糊; 模棱两可,音,漢語（多く音読み）と推定
2,相違,そうい,noun,差异; 不同,音,漢語（多く音読み）と推定
3,合致,がっち,verb-noun,一致; 符合,音,漢語（多く音読み）と推定
4,逸脱,いつだつ,verb-noun,偏离; 违背,音,漢語（多く音読み）と推定
5,裏付け,うらづけ,noun,证据; 支撑,訓/混合,okuriganaあり → 和語/混合の可能性高
6,介入,かいにゅう,verb-noun,介入; 干预,音,漢語（多く音読み）と推定
7,概念,がいねん,noun,概念,音,漢語（多く音読み）と推定
8,概略,がいりゃく,noun,概要,音,漢語（多く音読み）と推定
9,核,かく,noun,核心; 核,音,既定（単漢字・要個別確認）
10,稼働,かどう,verb-noun,运转; 运行,音,漢語（多く音読み）と推定
11,過疎,かそ,noun,人口稀少化,音,漢語（多く音読み）と推定
12,加味,かみ,verb-noun,加以考虑; 调味,音,漢語（多く音読み）と推定
13,緩和,かんわ,verb-noun,缓和; 放宽,音,漢語（多く音読み）と推定
14,棄却,ききゃく,verb-noun,驳回; 驳斥,音,漢語（多く音読み）と推定
15,規範,きはん,noun,规范,音,漢語（多く音読み）と推定
16,希薄,きはく,na-adj,稀薄; 淡薄,音,漢語（多く音読み）と推定
17,起伏,きふく,noun,起伏; 变化,音,漢語（多く音読み）と推定
18,脚色,きゃくしょく,verb-noun,润色; 改编,音,漢語（多く音読み）と推定
19,虚偽,きょぎ,noun,虚假; 伪造,音,漢語（多く音読み）と推定
20,矛盾,むじゅん,noun,矛盾,音,漢語（多く音読み）と推定
21,均衡,きんこう,noun,均衡; 平衡,音,漢語（多く音読み）と推定
22,吟味,ぎんみ,verb-noun,斟酌; 审查,音,漢語（多く音読み）と推定
23,駆使,くし,verb-noun,熟练运用,音,漢語（多く音読み）と推定
24,句読点,くとうてん,noun,标点符号,音,漢語（多く音読み）と推定
25,群集,ぐんしゅう,noun,群体; 群众,音,漢語（多く音読み）と推定
26,傾斜,けいしゃ,verb-noun,倾斜; 偏向,音,漢語（多く音読み）と推定
27,継承,けいしょう,verb-noun,继承,音,漢語（多く音読み）と推定
28,形骸化,けいがいか,verb-noun,形式化; 空洞化,音,漢語（多く音読み）と推定
29,掲示,けいじ,verb-noun,公告; 张贴,音,漢語（多く音読み）と推定
30,欠如,けつじょ,verb-noun,缺乏,音,漢語（多く音読み）と推定
31,顕著,けんちょ,na-adj,显著,音,漢語（多く音読み）と推定
32,検証,けんしょう,verb-noun,验证; 证实,音,漢語（多く音読み）と推定
33,厳密,げんみつ,na-adj,严密; 精确,音,漢語（多く音読み）と推定
34,誤差,ごさ,noun,误差,音,漢語（多く音読み）と推定
35,互換,ごかん,noun,互换; 兼容,音,漢語（多く音読み）と推定
36,孤立,こりつ,verb-noun,孤立,音,漢語（多く音読み）と推定
37,混同,こんどう,verb-noun,混淆,音,漢語（多く音読み）と推定
38,再現,さいげん,verb-noun,再现; 复现,音,漢語（多く音読み）と推定
39,採択,さいたく,verb-noun,采纳,音,漢語（多く音読み）と推定
40,裁量,さいりょう,noun,裁量; 自主决定,音,漢語（多く音読み）と推定
