id,kanji,reading,pos,meaning_zh
501,冷酷,れいこく,na-adj,冷酷
502,冷静,れいせい,na-adj,冷静
503,励行,れいこう,verb-noun,厉行; 认真执行
504,劣化,れっか,verb-noun,劣化
505,劣勢,れっせい,na-adj,劣势
506,連携,れんけい,verb-noun,联动
507,連携強化,れんけいきょうか,verb-noun,强化联动
508,連帯,れんたい,verb-noun,连带; 团结
509,連結,れんけつ,verb-noun,连接
510,露骨,ろこつ,na-adj,露骨
511,論述,ろんじゅつ,verb-noun,论述
512,和解,わかい,verb-noun,和解
513,倭国,わこく,noun,倭国（古称）
514,話法,わほう,noun,话法; 引语方式
515,弁える,わきまえる,v1,分辨; 明白分寸
516,悪循環,あくじゅんかん,noun,恶性循环
517,悪用,あくよう,verb-noun,滥用
518,安泰,あんたい,na-adj,安泰
519,暗示,あんじ,verb-noun,暗示
520,意気込み,いきごみ,noun,干劲
521,意向,いこう,noun,意向
522,意向調査,いこうちょうさ,noun,意向调查
523,異存,いぞん,noun,异议
524,移住,いじゅう,verb-noun,移居
525,遺伝,いでん,verb-noun,遗传
526,一貫,いっかん,verb-noun,一贯
527,逸話,いつわ,noun,轶事
528,稲妻,いなずま,noun,闪电
529,因果,いんが,noun,因果
530,因習,いんしゅう,noun,因循; 旧习
531,引率,いんそつ,verb-noun,带队
532,引証,いんしょう,verb-noun,引证
533,飲食店,いんしょくてん,noun,饮食店
534,陰湿,いんしつ,na-adj,阴险; 阴湿
535,右腕,うわん,noun,得力助手
536,迂遠,うえん,na-adj,迂远; 曲折
537,有形,ゆうけい,na-adj,有形
538,有識者,ゆうしきしゃ,noun,有识之士
539,優遇,ゆうぐう,verb-noun,优待
540,融和,ゆうわ,verb-noun,融洽; 和解
541,猶予,ゆうよ,verb-noun,宽限; 缓期
542,余剰,よじょう,noun,剩余
543,余念,よねん,noun,杂念; 牵挂
544,抑圧,よくあつ,verb-noun,压抑
545,落下,らっか,verb-noun,落下
546,落成,らくせい,verb-noun,落成
547,落葉,らくよう,noun,落叶
548,理屈,りくつ,noun,道理; 理由
549,理性,りせい,noun,理性
550,理路整然,りろせいぜん,adv,条理分明
551,裏腹,うらはら,na-adj,相反; 表里不同
552,陸橋,りっきょう,noun,天桥
553,略語,りゃくご,noun,缩略词
554,凌駕,りょうが,verb-noun,凌驾
555,臨時,りんじ,na-adj,临时
556,隣人,りんじん,noun,邻人
557,累進,るいしん,verb-noun,累进
558,零細,れいさい,na-adj,零散; 微小
559,冷淡,れいたん,na-adj,冷淡
560,老朽,ろうきゅう,na-adj,老朽; 破旧
561,漏洩,ろうえい,verb-noun,泄漏
562,浪人,ろうにん,noun,浪人; 待业生
563,朗報,ろうほう,noun,喜讯
564,労務,ろうむ,noun,劳务
565,労力,ろうりょく,noun,劳力
566,弄る,いじる,v1,摆弄; 抠
567,籠城,ろうじょう,verb-noun,困守
568,論点,ろんてん,noun,论点
569,論破,ろんぱ,verb-noun,驳倒
570,和やか,なごやか,na-adj,和气; 平静
571,倭寇,わこう,noun,倭寇
572,話術,わじゅつ,noun,说话技巧
573,湾岸,わんがん,noun,海湾沿岸
574,腕前,うでまえ,noun,本事; 手艺
575,案の定,あんのじょう,adv,果然
576,暗黙知,あんもくち, noun,默会知识
577,意図,いと,verb-noun,意图
578,一任,いちにん,verb-noun,委任
579,一節,いっせつ,noun,一段; 一节
580,逸脱的,いつだつてき,na-adj,越轨的
581,飲み込む,のみこむ,v1,吞下; 理解
582,隠蔽,いんぺい,verb-noun,隐瞒; 隐蔽
583,右肩上がり,みぎかたあがり,na-adj,呈上升趋势
584,雨天決行,うてんけっこう,noun,风雨无阻
585,有機的,ゆうきてき,na-adj,有机地
586,有形無形,ゆうけいむけい,noun,有形无形
587,優位,ゆうい,na-adj,优势
588,有望,ゆうぼう,na-adj,有希望
589,予見,よけん,verb-noun,预见
590,予備費,よびひ,noun,预备费
591,余波,よは, noun,余波; 影响
592,抑止,よくし,verb-noun,威慑; 抑制
593,来歴,らいれき,noun,来历
594,落伍,らくご,verb-noun,落伍
595,濫用,らんよう,verb-noun,滥用
596,利子,りし,noun,利息
597,利他,りた,na-adj,利他
598,利点,りてん,noun,优点
599,両極端,りょうきょくたん,noun,两极端
600,臨床,りんしょう,noun,临床
