id,kanji,reading,pos,meaning_zh,reading_type,reading_type_note
701,老成,ろうせい,na-adj,老成; 老练,音,漢語（多く音読み）と推定
702,老巧,ろうこう,na-adj,老练巧妙,音,漢語（多く音読み）と推定
703,弄する,ろうする,vs,玩弄; 操纵,訓/混合,okuriganaあり → 和語/混合の可能性高
704,労相,ろうしょう,noun,劳相（劳动大臣）,音,漢語（多く音読み）と推定
705,労基法,ろうきほう,noun,劳动基准法,音,漢語（多く音読み）と推定
706,漏話,ろうわ,noun,漏话,音,漢語（多く音読み）と推定
707,浪々,ろうろう,adv,飘零,音,漢語（多く音読み）と推定
708,論客,ろんきゃく,noun,论客,音,漢語（多く音読み）と推定
709,論考,ろんこう,noun,论文; 论考,音,漢語（多く音読み）と推定
710,和集合,わしゅうごう,noun,并集,音,漢語（多く音読み）と推定
711,腕白,わんぱく,na-adj,顽皮,音,漢語（多く音読み）と推定
712,暗然,あんぜん,na-adj,黯然,音,漢語（多く音読み）と推定
713,算法,さんぽう,noun,算法（古）,音,漢語（多く音読み）と推定
714,意義深い,いぎぶかい,na-adj,意义深远,訓/混合,okuriganaあり → 和語/混合の可能性高
715,一義的,いちぎてき,na-adj,单义的; 明确的,音,漢語（多く音読み）と推定
716,一顧だにしない,いっこだにしない,expr,不屑一顾,訓/混合,okuriganaあり → 和語/混合の可能性高
717,一元化,いちげんか,verb-noun,一元化,音,漢語（多く音読み）と推定
718,逸材,いつざい,noun,奇才,音,漢語（多く音読み）と推定
719,引用,いんよう,verb-noun,引用,音,漢語（多く音読み）と推定
720,右折,うせつ,verb-noun,右转,音,漢語（多く音読み）と推定
721,有機溶媒,ゆうきようばい,noun,有机溶剂,音,漢語（多く音読み）と推定
722,優先権,ゆうせんけん,noun,优先权,音,漢語（多く音読み）と推定
723,優越感,ゆうえつかん,noun,优越感,音,漢語（多く音読み）と推定
724,余所,よそ,noun,别处; 他处,音,漢語（多く音読み）と推定
725,予測可能性,よそくかのうせい,noun,可预测性,音,漢語（多く音読み）と推定
726,抑揚記号,よくようきごう,noun,语调符号,音,漢語（多く音読み）と推定
727,落穂拾い,おちぼひろい,noun,拾穗; 拾遗,訓/混合,okuriganaあり → 和語/混合の可能性高
728,濫觴,らんしょう,noun,滥觞; 根源,音,漢語（多く音読み）と推定
729,履修,りしゅう,verb-noun,修读,音,漢語（多く音読み）と推定
730,利益誘導,りえきゆうどう,noun,利益引导,音,漢語（多く音読み）と推定
731,良妻賢母,りょうさいけんぼ,noun,贤妻良母,音,漢語（多く音読み）と推定
732,臨検,りんけん,verb-noun,临检,音,漢語（多く音読み）と推定
733,類語,るいご,noun,类语; 同义词,音,漢語（多く音読み）と推定
734,冷厳,れいげん,na-adj,冷峻; 严峻,音,漢語（多く音読み）と推定
735,零細化,れいさいか,verb-noun,细碎化,音,漢語（多く音読み）と推定
736,労組法,ろうそほう,noun,工会法,音,漢語（多く音読み）と推定
737,労使,ろうし,noun,劳资,音,漢語（多く音読み）と推定
738,老齢,ろうれい,noun,高龄,音,漢語（多く音読み）と推定
739,浪人生活,ろうにんせいかつ,noun,复读生活/待业,音,漢語（多く音読み）と推定
740,論説,ろんせつ,noun,评论; 论文,音,漢語（多く音読み）と推定
741,和文和訳,わぶんわやく,noun,日文互译,音,漢語（多く音読み）と推定
742,腕利き,うできき,na-adj,能干; 有本事,訓/混合,okuriganaあり → 和語/混合の可能性高
743,暗雲,あんうん,noun,乌云,音,漢語（多く音読み）と推定
744,算段,さんだん,verb-noun,筹划,音,漢語（多く音読み）と推定
745,違和感,いわかん,noun,违和感,音,漢語（多く音読み）と推定
746,一見,いっけん,adv,乍看,音,漢語（多く音読み）と推定
